season,player_name,birth_date,team,position,height_cm,weight_kg,spike_reach_cm,jersey_number,player_url
2014-2015,Alek Achrem,12.03.1983,Asseco Resovia Rzeszów,Przyjmujący,194,89,340,,https://www.plusliga.pl/players/id/74/tour/21.html
2014-2015,Rafał Buszek,28.04.1987,Asseco Resovia Rzeszów,Przyjmujący,196,88,345,,https://www.plusliga.pl/players/id/2065/tour/21.html
2014-2015,Dawid Dryja,21.07.1992,Asseco Resovia Rzeszów,Środkowy,201,96,355,,https://www.plusliga.pl/players/id/467/tour/21.html
2014-2015,Fabian Drzyzga,03.01.1990,Asseco Resovia Rzeszów,Rozgrywający,196,95,343,,https://www.plusliga.pl/players/id/602/tour/21.html
2014-2015,Russell Holmes,01.07.1982,Asseco Resovia Rzeszów,Środkowy,205,95,352,,https://www.plusliga.pl/players/id/2130/tour/21.html
2014-2015,Krzysztof Ignaczak,15.05.1978,Asseco Resovia Rzeszów,Libero,188,86,336,,https://www.plusliga.pl/players/id/1216/tour/21.html
2014-2015,Marko Ivovic,22.12.1990,Asseco Resovia Rzeszów,Przyjmujący,194,89,365,,https://www.plusliga.pl/players/id/1526/tour/21.html
2014-2015,Marcin Kania,14.02.1996,Asseco Resovia Rzeszów,Środkowy,203,84,352,,https://www.plusliga.pl/players/id/1446/tour/21.html
2014-2015,Dawid Konarski,31.08.1989,Asseco Resovia Rzeszów,Atakujący,198,101,355,,https://www.plusliga.pl/players/id/472/tour/21.html
2014-2015,Michał Kozłowski,16.02.1985,Asseco Resovia Rzeszów,Rozgrywający,191,88,325,,https://www.plusliga.pl/players/id/1687/tour/21.html
2014-2015,Łukasz Kozub,03.11.1997,Asseco Resovia Rzeszów,Rozgrywający,186,86,320,,https://www.plusliga.pl/players/id/1285/tour/21.html
2014-2015,Paul Michael Lotman,03.11.1985,Asseco Resovia Rzeszów,Przyjmujący,200,99,345,,https://www.plusliga.pl/players/id/1922/tour/21.html
2014-2015,Piotr Nowakowski,18.12.1987,Asseco Resovia Rzeszów,Środkowy,205,101,360,,https://www.plusliga.pl/players/id/2014/tour/21.html
2014-2015,Nikolay Penchev,22.05.1992,Asseco Resovia Rzeszów,Przyjmujący,197,87,345,,https://www.plusliga.pl/players/id/1841/tour/21.html
2014-2015,Łukasz Perłowski,03.04.1984,Asseco Resovia Rzeszów,Środkowy,204,95,353,,https://www.plusliga.pl/players/id/1296/tour/21.html
2014-2015,Jochen Schoeps,08.10.1983,Asseco Resovia Rzeszów,Atakujący,200,103,356,,https://www.plusliga.pl/players/id/930/tour/21.html
2014-2015,Lukas Tichacek,12.01.1982,Asseco Resovia Rzeszów,Rozgrywający,193,95,335,,https://www.plusliga.pl/players/id/1273/tour/21.html
2014-2015,Michał Żurek,03.06.1988,Asseco Resovia Rzeszów,Libero,181,81,320,,https://www.plusliga.pl/players/id/1725/tour/21.html
2014-2015,Michał Bąkiewicz,22.03.1981,AZS Częstochowa,Przyjmujący,197,93,339,,https://www.plusliga.pl/players/id/1661/tour/21.html
2014-2015,Konrad Buczek,17.02.1994,AZS Częstochowa,Rozgrywający,190,78,330,,https://www.plusliga.pl/players/id/1183/tour/21.html
2014-2015,Miguel Angel De Amo,16.09.1985,AZS Częstochowa,Rozgrywający,185,79,340,,https://www.plusliga.pl/players/id/1729/tour/21.html
2014-2015,Szymon Herman,30.04.1997,AZS Częstochowa,Przyjmujący,194,80,339,,https://www.plusliga.pl/players/id/2232/tour/21.html
2014-2015,Bartosz Janeczek,12.07.1987,AZS Częstochowa,Atakujący,198,88,355,,https://www.plusliga.pl/players/id/306/tour/21.html
2014-2015,Michał Kaczyński,06.02.1993,AZS Częstochowa,Atakujący,200,87,350,,https://www.plusliga.pl/players/id/1681/tour/21.html
2014-2015,Maksim Khilko,21.02.1987,AZS Częstochowa,Przyjmujący,197,85,345,,https://www.plusliga.pl/players/id/1396/tour/21.html
2014-2015,Jakub Macyra,22.07.1995,AZS Częstochowa,Środkowy,202,96,355,,https://www.plusliga.pl/players/id/815/tour/21.html
2014-2015,Mariusz Marcyniak,05.03.1992,AZS Częstochowa,Środkowy,206,103,346,,https://www.plusliga.pl/players/id/1514/tour/21.html
2014-2015,Patryk Napiórkowski,13.12.1995,AZS Częstochowa,Atakujący,201,93,363,,https://www.plusliga.pl/players/id/1910/tour/21.html
2014-2015,Paweł Pietkiewicz,01.01.1986,AZS Częstochowa,Przyjmujący,190,0,332,,https://www.plusliga.pl/players/id/1963/tour/21.html
2014-2015,Mateusz Przybyła,12.04.1991,AZS Częstochowa,Środkowy,208,118,354,,https://www.plusliga.pl/players/id/1613/tour/21.html
2014-2015,Guillaume Samica,28.09.1981,AZS Częstochowa,Przyjmujący,197,88,350,,https://www.plusliga.pl/players/id/692/tour/21.html
2014-2015,Adrian Stańczak,17.02.1987,AZS Częstochowa,Libero,185,83,0,,https://www.plusliga.pl/players/id/41/tour/21.html
2014-2015,Rafał Szymura,29.08.1995,AZS Częstochowa,Przyjmujący,197,100,345,,https://www.plusliga.pl/players/id/2084/tour/21.html
2014-2015,Artur Udrys,18.10.1990,AZS Częstochowa,Środkowy,211,99,368,,https://www.plusliga.pl/players/id/254/tour/21.html
2014-2015,Damian Zygmunt,04.06.1994,AZS Częstochowa,Środkowy,197,75,340,,https://www.plusliga.pl/players/id/420/tour/21.html
2014-2015,Krzysztof Bieńkowski,19.06.1995,AZS Politechnika Warszawska,Rozgrywający,198,87,336,,https://www.plusliga.pl/players/id/1210/tour/21.html
2014-2015,Dominik Depowski,27.10.1995,AZS Politechnika Warszawska,Przyjmujący,200,95,348,,https://www.plusliga.pl/players/id/514/tour/21.html
2014-2015,Michał Filip,31.08.1994,AZS Politechnika Warszawska,Przyjmujący,197,100,345,,https://www.plusliga.pl/players/id/1668/tour/21.html
2014-2015,Szymon Gregorowicz,07.03.1994,AZS Politechnika Warszawska,Libero,183,77,325,,https://www.plusliga.pl/players/id/2231/tour/21.html
2014-2015,Bartłomiej Lemański,19.03.1996,AZS Politechnika Warszawska,Środkowy,217,105,365,,https://www.plusliga.pl/players/id/279/tour/21.html
2014-2015,Piotr Lipiński,04.01.1979,AZS Politechnika Warszawska,Rozgrywający,195,91,330,,https://www.plusliga.pl/players/id/2008/tour/21.html
2014-2015,Paweł Mikołajczak,20.06.1988,AZS Politechnika Warszawska,Atakujący,195,96,350,,https://www.plusliga.pl/players/id/1960/tour/21.html
2014-2015,Bartłomiej Mordyl,21.01.1995,AZS Politechnika Warszawska,Środkowy,201,92,340,,https://www.plusliga.pl/players/id/282/tour/21.html
2014-2015,Maciej Olenderek,16.10.1992,AZS Politechnika Warszawska,Libero,178,80,0,,https://www.plusliga.pl/players/id/1339/tour/21.html
2014-2015,Jakub Radomski,16.03.1988,AZS Politechnika Warszawska,Przyjmujący,203,95,350,,https://www.plusliga.pl/players/id/827/tour/21.html
2014-2015,Mateusz Sacharewicz,23.10.1989,AZS Politechnika Warszawska,Środkowy,198,94,350,,https://www.plusliga.pl/players/id/1617/tour/21.html
2014-2015,Patryk Strzeżek,19.11.1989,AZS Politechnika Warszawska,Atakujący,202,97,350,,https://www.plusliga.pl/players/id/1913/tour/21.html
2014-2015,Artur Szalpuk,20.03.1995,AZS Politechnika Warszawska,Przyjmujący,201,93,350,,https://www.plusliga.pl/players/id/253/tour/21.html
2014-2015,Aleksander Śliwka,24.05.1995,AZS Politechnika Warszawska,Przyjmujący,196,90,352,,https://www.plusliga.pl/players/id/87/tour/21.html
2014-2015,Waldemar Świrydowicz,18.12.1986,AZS Politechnika Warszawska,Środkowy,205,100,345,,https://www.plusliga.pl/players/id/2364/tour/21.html
2014-2015,Marcin Bachmatiuk,17.05.1992,BBTS Bielsko-Biała,Środkowy,205,91,345,,https://www.plusliga.pl/players/id/1433/tour/21.html
2014-2015,Michał Błoński,24.03.1987,BBTS Bielsko-Biała,Przyjmujący,187,85,335,,https://www.plusliga.pl/players/id/1662/tour/21.html
2014-2015,Bartosz Bućko,06.01.1995,BBTS Bielsko-Biała,Atakujący,195,89,341,,https://www.plusliga.pl/players/id/294/tour/21.html
2014-2015,Bartosz Buniak,08.10.1985,BBTS Bielsko-Biała,Środkowy,205,105,350,,https://www.plusliga.pl/players/id/295/tour/21.html
2014-2015,Przemysław Czauderna,21.05.1992,BBTS Bielsko-Biała,Libero,183,83,305,,https://www.plusliga.pl/players/id/2033/tour/21.html
2014-2015,Profil,,BBTS Bielsko-Biała,,,,,,https://www.plusliga.pl/players/id/1667/tour/21.html
2014-2015,Wojciech Ferens,05.04.1991,BBTS Bielsko-Biała,Przyjmujący,195,96,355,,https://www.plusliga.pl/players/id/2405/tour/21.html
2014-2015,Jose Luis Gonzalez,27.12.1984,BBTS Bielsko-Biała,Atakujący,206,94,355,,https://www.plusliga.pl/players/id/940/tour/21.html
2014-2015,Serhiy Kapelus,22.10.1982,BBTS Bielsko-Biała,Przyjmujący,191,86,345,,https://www.plusliga.pl/players/id/2165/tour/21.html
2014-2015,Kamil Kwasowski,13.09.1990,BBTS Bielsko-Biała,Przyjmujący,199,85,345,,https://www.plusliga.pl/players/id/1039/tour/21.html
2014-2015,Dominik Miarka,01.02.1994,BBTS Bielsko-Biała,Przyjmujący,195,83,341,,https://www.plusliga.pl/players/id/519/tour/21.html
2014-2015,Bartłomiej Neroj,22.11.1984,BBTS Bielsko-Biała,Rozgrywający,200,98,338,,https://www.plusliga.pl/players/id/283/tour/21.html
2014-2015,Profil,,BBTS Bielsko-Biała,,,,,,https://www.plusliga.pl/players/id/1705/tour/21.html
2014-2015,Grzegorz Pilarz,12.02.1980,BBTS Bielsko-Biała,Rozgrywający,188,80,320,,https://www.plusliga.pl/players/id/684/tour/21.html
2014-2015,Łukasz Polański,29.01.1989,BBTS Bielsko-Biała,Środkowy,205,94,352,,https://www.plusliga.pl/players/id/1298/tour/21.html
2014-2015,Wojciech Siek,10.05.1994,BBTS Bielsko-Biała,Środkowy,205,101,355,,https://www.plusliga.pl/players/id/2420/tour/21.html
2014-2015,Wojciech Sobala,12.05.1988,BBTS Bielsko-Biała,Środkowy,207,96,355,,https://www.plusliga.pl/players/id/2421/tour/21.html
2014-2015,Bartłomiej Bołądź,28.09.1994,Cerrad Czarni Radom,Atakujący,205,101,360,,https://www.plusliga.pl/players/id/270/tour/21.html
2014-2015,Igor Grobelny,08.06.1993,Cerrad Czarni Radom,Przyjmujący,194,77,360,,https://www.plusliga.pl/players/id/726/tour/21.html
2014-2015,Bartłomiej Grzechnik,08.02.1993,Cerrad Czarni Radom,Środkowy,200,90,344,,https://www.plusliga.pl/players/id/275/tour/21.html
2014-2015,Kamil Gutkowski,15.10.1986,Cerrad Czarni Radom,Przyjmujący,194,95,335,,https://www.plusliga.pl/players/id/1034/tour/21.html
2014-2015,Lukas Kampa,29.11.1986,Cerrad Czarni Radom,Rozgrywający,195,90,340,,https://www.plusliga.pl/players/id/1272/tour/21.html
2014-2015,Michał Kędzierski,09.08.1994,Cerrad Czarni Radom,Rozgrywający,194,83,345,,https://www.plusliga.pl/players/id/1684/tour/21.html
2014-2015,Adam Kowalski,16.09.1994,Cerrad Czarni Radom,Libero,180,75,325,,https://www.plusliga.pl/players/id/9/tour/21.html
2014-2015,Mikko Oivanen,26.05.1986,Cerrad Czarni Radom,Atakujący,198,92,360,,https://www.plusliga.pl/players/id/1733/tour/21.html
2014-2015,Michał Ostrowski,29.03.1990,Cerrad Czarni Radom,Środkowy,203,96,345,,https://www.plusliga.pl/players/id/1703/tour/21.html
2014-2015,Daniel Pliński,10.12.1978,Cerrad Czarni Radom,Środkowy,204,100,330,,https://www.plusliga.pl/players/id/435/tour/21.html
2014-2015,Jacek Ratajczak,24.11.1986,Cerrad Czarni Radom,Środkowy,214,100,360,,https://www.plusliga.pl/players/id/769/tour/21.html
2014-2015,Jakub Wachnik,16.02.1993,Cerrad Czarni Radom,Przyjmujący,202,109,349,,https://www.plusliga.pl/players/id/842/tour/21.html
2014-2015,Dirk Westphal,31.01.1986,Cerrad Czarni Radom,Przyjmujący,203,100,355,,https://www.plusliga.pl/players/id/503/tour/21.html
2014-2015,Wojciech Żaliński,08.01.1988,Cerrad Czarni Radom,Przyjmujący,195,100,345,,https://www.plusliga.pl/players/id/2429/tour/21.html
2014-2015,Ivan Borovnjak,04.07.1988,Cuprum Lubin,Przyjmujący,202,91,355,,https://www.plusliga.pl/players/id/750/tour/21.html
2014-2015,Maciej Gorzkiewicz,16.02.1984,Cuprum Lubin,Rozgrywający,192,85,335,,https://www.plusliga.pl/players/id/1323/tour/21.html
2014-2015,Marcel Gromadowski,19.12.1985,Cuprum Lubin,Atakujący,203,105,350,,https://www.plusliga.pl/players/id/1426/tour/21.html
2014-2015,Łukasz Kadziewicz,20.09.1980,Cuprum Lubin,Środkowy,206,0,350,,https://www.plusliga.pl/players/id/1282/tour/21.html
2014-2015,Marcin Kryś,15.01.1983,Cuprum Lubin,Libero,192,90,325,,https://www.plusliga.pl/players/id/1456/tour/21.html
2014-2015,Łukasz Łapszyński,23.09.1993,Cuprum Lubin,Przyjmujący,194,98,340,,https://www.plusliga.pl/players/id/1290/tour/21.html
2014-2015,Grzegorz Łomacz,01.10.1987,Cuprum Lubin,Rozgrywający,187,81,336,,https://www.plusliga.pl/players/id/678/tour/21.html
2014-2015,Adam Michalski,24.12.1988,Cuprum Lubin,Środkowy,201,93,350,,https://www.plusliga.pl/players/id/13/tour/21.html
2014-2015,Dmytro Pashytskyy,29.11.1987,Cuprum Lubin,Środkowy,205,100,354,,https://www.plusliga.pl/players/id/511/tour/21.html
2014-2015,Szymon Romać,01.10.1992,Cuprum Lubin,Przyjmujący,196,99,350,,https://www.plusliga.pl/players/id/2241/tour/21.html
2014-2015,Paweł Rusek,21.01.1983,Cuprum Lubin,Libero,183,76,315,,https://www.plusliga.pl/players/id/1966/tour/21.html
2014-2015,Paweł Siezieniewski,27.12.1981,Cuprum Lubin,Przyjmujący,199,93,345,,https://www.plusliga.pl/players/id/1967/tour/21.html
2014-2015,Jeroen Trommel,01.08.1980,Cuprum Lubin,Przyjmujący,194,93,340,,https://www.plusliga.pl/players/id/895/tour/21.html
2014-2015,Mateusz Bieniek,05.04.1994,Effector Kielce,Środkowy,208,98,351,,https://www.plusliga.pl/players/id/1579/tour/21.html
2014-2015,Adrian Buchowski,30.09.1991,Effector Kielce,Przyjmujący,194,94,347,,https://www.plusliga.pl/players/id/28/tour/21.html
2014-2015,Bartosz Dzierżyński,13.11.1996,Effector Kielce,Libero,184,82,315,,https://www.plusliga.pl/players/id/299/tour/21.html
2014-2015,Marcin Janusz,31.07.1994,Effector Kielce,Rozgrywający,195,93,326,,https://www.plusliga.pl/players/id/1443/tour/21.html
2014-2015,Sławomir Jungiewicz,21.06.1989,Effector Kielce,Atakujący,196,95,360,,https://www.plusliga.pl/players/id/2189/tour/21.html
2014-2015,Bartosz Kaczmarek,17.01.1991,Effector Kielce,Libero,184,89,325,,https://www.plusliga.pl/players/id/308/tour/21.html
2014-2015,Bartosz Krzysiek,19.02.1990,Effector Kielce,Atakujący,207,98,361,,https://www.plusliga.pl/players/id/312/tour/21.html
2014-2015,Humberto Machacon,05.10.1998,Effector Kielce,Przyjmujący,0,0,0,,https://www.plusliga.pl/players/id/719/tour/21.html
2014-2015,Jędrzej Maćkowiak,17.10.1992,Effector Kielce,Środkowy,198,90,345,,https://www.plusliga.pl/players/id/906/tour/21.html
2014-2015,Arvydas Miselkis,17.09.1987,Effector Kielce,Atakujący,200,90,355,,https://www.plusliga.pl/players/id/257/tour/21.html
2014-2015,Grzegorz Pająk,01.01.1987,Effector Kielce,Rozgrywający,196,94,349,,https://www.plusliga.pl/players/id/682/tour/21.html
2014-2015,Rozalin Penchev,11.12.1994,Effector Kielce,Przyjmujący,197,80,341,,https://www.plusliga.pl/players/id/2128/tour/21.html
2014-2015,Adam Sobota,29.02.1996,Effector Kielce,Przyjmujący,193,69,336,,https://www.plusliga.pl/players/id/19/tour/21.html
2014-2015,Adrian Staszewski,31.05.1990,Effector Kielce,Przyjmujący,196,102,340,,https://www.plusliga.pl/players/id/42/tour/21.html
